gpu_name = a100
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        2196523                     1044060                     81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1353426                     624757                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        773406                      405551                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1259423                     639902                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1601938                     758014                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1601938                     758014                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1519003                     792523                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        714453                      368103                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        426452                      170580                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1679488                     808666                      81152             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        1679488                     808666                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        607749                      301987                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        607749                      301987                      81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        2423574                     1193485                     81152             
GPU 0      795          0.000        0.000        0.000        0.000        0.000        0.000        556454                      289398                      81152             
GPU 0      735          0.000        0.000        0.000        0.000        0.000        0.000        556454                      289398                      81152             
GPU 0      735          0.000        0.000        0.000        0.000        0.000        0.000        20162343                    14190397                    81150             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        20162343                    14190397                    81132             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        12647594                    11013428                    81131             
GPU 0      1410         0.073        0.000        0.000        0.000        0.000        0.000        18524206                    13950764                    81118             
GPU 0      1410         0.073        0.000        0.000        0.000        0.000        0.000        18524206                    13950764                    70484             
